"county","tract","bg","cbsa","pop10","afact"
"County code","Tract","Block group","CBSA (current)","Population (2010)","bg to cbsa allocation factor"
"01027","9590.00","2"," ",1192,1 
"01027","9590.00","3"," ",711,1 
"01027","9591.00","1"," ",902,1 
"01027","9591.00","2"," ",1318,1 
"01027","9591.00","3"," ",684,1 
"01027","9592.00","1"," ",791,1 
"01027","9592.00","2"," ",614,1 
"01027","9592.00","3"," ",1075,1 
"01029","9595.00","1"," ",1016,1 
"01029","9595.00","2"," ",1668,1 
"01029","9596.00","1"," ",1348,1 
"01029","9596.00","2"," ",1336,1 
"01029","9596.00","3"," ",1518,1 
"01029","9597.00","1"," ",1438,1 
"01029","9597.00","2"," ",725,1 
"01029","9597.00","3"," ",1256,1 
"01029","9598.00","1"," ",1704,1 
"01029","9598.00","2"," ",1141,1 
"01029","9598.00","3"," ",1822,1 
"01031","0101.00","1","21460",743,1 
"01031","0101.00","2","21460",1314,1 
"01031","0102.00","1","21460",1070,1 
"01031","0102.00","2","21460",771,1 
"01031","0103.00","1","21460",2486,1 
"01031","0103.00","2","21460",1772,1 
"01031","0104.00","1","21460",1155,1 
"01031","0104.00","2","21460",997,1 
"01031","0105.00","1","21460",1303,1 
"01031","0105.00","2","21460",945,1 
"01031","0105.00","3","21460",685,1 
"01031","0105.00","4","21460",960,1 
"01031","0105.00","5","21460",665,1 
"01031","0106.00","1","21460",750,1 
"01031","0106.00","2","21460",811,1 
"01031","0107.00","1","21460",2286,1 
"01031","0108.00","1","21460",1819,1 
"01031","0108.00","2","21460",1021,1 
"01031","0109.00","1","21460",1337,1 
"01031","0109.00","2","21460",780,1 
"01031","0110.00","1","21460",1707,1 
"01031","0110.00","2","21460",1819,1 
"01031","0111.00","1","21460",2026,1 
"01031","0112.01","1","21460",1674,1 
"01031","0112.01","2","21460",3260,1 
"01031","0112.01","3","21460",3102,1 
"01031","0112.02","1","21460",1310,1 
"01031","0112.02","2","21460",3175,1 
"01031","0112.02","3","21460",2076,1 
"01031","0112.02","4","21460",1969,1 
"01031","0113.00","1","21460",1497,1 
"01031","0113.00","2","21460",1589,1 
"01031","0113.00","3","21460",1074,1 
"01033","0201.00","1","22520",897,1 
"01033","0201.00","2","22520",739,1 
"01033","0201.00","3","22520",781,1 
"01033","0201.00","4","22520",1050,1 
"01033","0202.00","1","22520",1043,1 
"01033","0202.00","2","22520",914,1 
"01033","0203.00","1","22520",523,1 
"01033","0203.00","2","22520",660,1 
"01033","0203.00","3","22520",849,1 
"01033","0204.00","1","22520",915,1 
"01033","0204.00","2","22520",615,1 
"01033","0205.00","1","22520",1013,1 
"01033","0205.00","2","22520",1622,1 
"01033","0205.00","3","22520",860,1 
"01033","0205.00","4","22520",1726,1 
"01033","0206.00","1","22520",865,1 
"01033","0206.00","2","22520",999,1 
"01033","0206.00","3","22520",1118,1 
"01033","0206.00","4","22520",1146,1 
"01033","0207.01","1","22520",1388,1 
"01033","0207.01","2","22520",2879,1 
"01033","0207.01","3","22520",1836,1 
"01033","0207.03","1","22520",1897,1 
"01033","0207.03","2","22520",2652,1 
"01033","0207.03","3","22520",626,1 
"01033","0207.04","1","22520",730,1 
"01033","0207.04","2","22520",1197,1 
"01033","0207.04","3","22520",1140,1 
"01033","0207.04","4","22520",1254,1 
"01033","0208.01","1","22520",765,1 
"01033","0208.01","2","22520",1874,1 
"01033","0208.01","3","22520",1848,1 
"01033","0208.02","1","22520",750,1 
"01033","0208.02","2","22520",1366,1 
"01033","0208.02","3","22520",1650,1 
"01033","0209.01","1","22520",1390,1 
"01033","0209.01","2","22520",1416,1 
"01033","0209.01","3","22520",1521,1 
"01033","0209.02","1","22520",774,1 
"01033","0209.02","2","22520",1161,1 
"01033","0209.02","3","22520",1208,1 
"01033","0209.02","4","22520",829,1 
"01033","0210.00","1","22520",1258,1 
"01033","0210.00","2","22520",866,1 
"01033","0210.00","3","22520",531,1 
"01033","0210.00","4","22520",1287,1 
"01035","9602.00","1"," ",603,1 
"01035","9602.00","2"," ",1205,1 
"01035","9603.00","1"," ",692,1 
"01035","9603.00","2"," ",1039,1 
"01035","9604.00","1"," ",1104,1 
"01035","9604.00","2"," ",872,1 
"01035","9604.00","3"," ",1275,1 
"01035","9605.00","1"," ",912,1 
"01035","9605.00","2"," ",859,1 
"01035","9606.00","1"," ",1341,1 
"01035","9606.00","2"," ",1479,1 
"01035","9606.00","3"," ",1847,1 
"01037","9610.00","1","45180",828,1 
"01037","9610.00","2","45180",793,1 
"01037","9610.00","3","45180",1176,1 
"01037","9610.00","4","45180",1159,1 
"01037","9611.00","1","45180",1349,1 
"01037","9611.00","2","45180",1218,1 
"01037","9611.00","3","45180",1360,1 
"01037","9612.00","1","45180",871,1 
"01037","9612.00","2","45180",1358,1 
"01037","9612.00","3","45180",779,1 
"01037","9612.00","4","45180",648,1 
"01039","9616.00","1"," ",1465,1 
"01039","9616.00","2"," ",672,1 
"01039","9616.00","3"," ",820,1 
"01039","9616.00","4"," ",1176,1 
"01039","9617.00","1"," ",1635,1 
"01039","9617.00","2"," ",798,1 
"01039","9617.00","3"," ",1599,1 
"01039","9618.00","1"," ",1404,1 
"01039","9618.00","2"," ",1725,1 
"01039","9619.00","1"," ",684,1 
"01039","9619.00","2"," ",1443,1 
"01039","9620.00","1"," ",1104,1 
"01039","9620.00","2"," ",1045,1 
"01039","9620.00","3"," ",928,1 
"01039","9620.00","4"," ",840,1 
"01039","9621.00","1"," ",590,1 
"01039","9621.00","2"," ",1421,1 
"01039","9623.00","1"," ",935,1 
"01039","9623.00","2"," ",1409,1 
